"","cue","coverage","H","unknown","N"
"1","a",89,3.10081446806663,0,100
"2","aardvark",87.8787878787879,2.5706161561188,0,99
"3","abacus",87.7551020408163,2.8958531163321,0,98
"4","abandon",94.8453608247423,2.46052314566861,0,97
"5","abbey",87,3.00656556523118,0,100
"6","abbreviation",68,2.41278257409708,0,100
"7","abdicate",80,3.25290467346677,0,100
"8","abdomen",91,2.24843983970962,0,100
"9","abduct",90.7216494845361,2.53504652792385,0,97
"10","abduction",86.8686868686869,2.52355986113087,0,99
"11","Abel",76,1.97725498665042,0,100
"12","abhor",85,1.68477578057475,0,100
"13","abide",89,3.18412948103471,0,100
"14","ability",88,3.48992453020817,0,100
"15","able",79,2.94608541331865,0,100
"16","abnormal",92,2.94481694187496,0,100
"17","abode",85,1.85403364190026,0,100
"18","Aboriginal",92.7835051546392,2.3730168462458,0,97
"19","aborigine",85,2.15702867635926,0,100
"20","abortion",94,3.22710469544635,0,100
"21","about",91,3.53238005677409,0,100
"22","above",99,2.37987144465837,0,100
"23","abrasive",81,2.95151486335382,0,100
"24","abroad",96,3.02607262358964,0,100
"25","abrupt",93,2.78776879361032,0,100
"26","abs",82,3.42893147082297,0,100
"27","absence",84,3.41656157264271,0,100
"28","absent",91,3.10077985403681,0,100
"29","absolute",95,3.51360429502062,0,100
"30","absolutely",94,3.10175265010803,0,100
"31","absorb",80,3.29439223013731,0,100
"32","absorbent",86,2.83639221137967,0,100
"33","abstain",89,3.48021527335116,0,100
"34","abstract",87,3.36904452777547,0,100
"35","absurd",91,2.7299993886986,0,100
"36","abundance",94,3.32295950321103,0,100
"37","abundant",92,3.26322755050378,0,100
"38","abuse",95,3.32530591416283,0,100
"39","abusive",94,3.6410765535669,0,100
"40","academia",90.9090909090909,2.75033624330543,0,99
"41","academic",95.959595959596,3.17096340561304,0,99
"42","academy",84.5360824742268,2.6915377398937,0,97
"43","accelerate",96,2.38871047568289,0,100
"44","acceleration",96,2.25351820394806,0,100
"45","accent",84,3.58917218758334,0,100
"46","accept",95,3.5233960629053,0,100
"47","acceptable",84,3.35361542439027,0,100
"48","acceptance",89.7959183673469,3.80267761738843,0,98
"49","accepted",71,3.94913963045381,0,100
"50","access",79,3.59058623989218,0,100
"51","accessory",88,3.42460346795284,0,100
"52","accident",93,2.9768561481934,0,100
"53","accompany",84.6938775510204,3.30193598271087,0,98
"54","accomplish",96,3.0925325464865,0,100
"55","accomplished",84,3.80596992759459,0,100
"56","accomplishment",95.8762886597938,3.11370853389245,0,97
"57","accord",76,2.89374043500076,0,100
"58","accordion",89,3.21063252541533,0,100
"59","account",93,3.30698765376569,0,100
"60","accountant",91,2.99727176566526,0,100
"61","accounting",92.9292929292929,3.34677912560441,0,99
"62","accumulate",95,2.98040420055792,0,100
"63","accuracy",89,3.27535400623513,0,100
"64","accurate",98,2.69239032509128,0,100
"65","accusation",91,3.6566524049376,0,100
"66","accuse",88,3.65828758149917,0,100
"67","ace",89,3.19550626436456,0,100
"68","ache",99,2.47063008179498,0,100
"69","achieve",92,3.42605595827297,0,100
"70","achievement",95,3.26419186044632,0,100
"71","achiever",85,3.52994988100759,0,100
"72","aching",99,2.77060114754771,0,100
"73","acid",85,3.40913648919666,0,100
"74","acidic",83,3.45389283520941,0,100
"75","acknowledge",91.9191919191919,3.53826223495217,0,99
"76","acne",88,2.93809467634753,0,100
"77","acorn",96,2.31418151496586,0,100
"78","acoustic",94.8453608247423,1.92607661559731,0,97
"79","acquaintance",90,1.69613613870102,0,100
"80","acquire",97,2.48756178213347,0,100
"81","acre",85.7142857142857,2.80981468268996,0,98
"82","acrid",82,2.87126372054422,0,100
"83","acrobat",92.7835051546392,3.0907698017871,0,97
"84","acrobatics",89,3.28006949965423,0,100
"85","acronym",64,3.5630728731113,0,100
"86","across",83,3.60113371379515,0,100
"87","act",93,3.02478972493628,0,100
"88","acting",90,3.64035471594848,0,100
"89","action",86,3.58487406420563,0,100
"90","actions",55,3.55896365798517,0,100
