"","cue","coverage","H","unknown","xR2","xR3","N"
"1","a",89.8550724637681,4.06257985600771,0,8,8,300
"2","aardvark",84.8375451263538,3.96384917524324,0,3,14,297
"3","abacus",81.2720848056537,3.73059116981591,0,0,11,294
"4","abandon",91.1764705882353,3.92335443032504,0,4,11,291
"5","abbey",82.5174825174825,4.0449174841946,0,4,6,300
"6","abbreviation",67.1586715867159,4.14809048370393,0,6,17,300
"7","abdicate",79.9227799227799,3.86313206419835,0,12,17,300
"8","abdomen",86.8055555555556,3.72048895497022,0,1,10,300
"9","abduct",92.3076923076923,3.58959110260886,0,3,12,291
"10","abduction",84.2307692307692,3.93407652291998,0,13,11,297
"11","Abel",64.591439688716,3.3086782517685,0,13,17,300
"12","abhor",81.7120622568093,3.25776032950374,0,11,21,300
"13","abide",87.2427983539095,4.06248139707613,0,17,23,300
"14","ability",90.4059040590406,4.26886116502644,0,5,19,300
"15","able",81.0035842293907,3.88123675798144,0,4,13,300
"16","abnormal",87.9858657243816,3.98976785548133,0,2,13,300
"17","abode",84.2293906810036,3.1716548635043,0,1,19,300
"18","Aboriginal",84.1726618705036,3.79465432283383,0,2,9,291
"19","aborigine",83.2142857142857,3.44067499103517,0,1,18,300
"20","abortion",89.2361111111111,4.19314680212366,0,5,2,300
"21","about",86.4468864468865,4.3129576402317,0,6,15,300
"22","above",95.53264604811,3.76781483889428,0,1,7,300
"23","abrasive",80.5555555555556,4.17258819938801,0,1,10,300
"24","abroad",93.2659932659933,3.95769186754163,0,0,3,300
"25","abrupt",90.2439024390244,3.77983248077225,0,3,7,300
"26","abs",81.1643835616438,4.07951847600906,0,1,6,300
"27","absence",84.5323741007194,4.15883799923571,0,4,14,300
"28","absent",85.6140350877193,3.95731007104668,0,0,15,300
"29","absolute",90.2777777777778,4.22425364181882,0,0,12,300
"30","absolutely",89.2086330935252,4.05207107244347,0,4,14,300
"31","absorb",86.5248226950355,4.18537105962094,0,3,12,300
"32","absorbent",86.3157894736842,3.80978219533677,0,3,9,300
"33","abstain",85.8156028368794,4.45440477568661,0,4,10,300
"34","abstract",84.2293906810036,4.48227814909566,0,5,11,300
"35","absurd",86.7595818815331,3.86406472660053,0,2,9,300
"36","abundance",91.6666666666667,4.28531874371746,0,3,6,300
"37","abundant",88.8888888888889,4.34797198773571,0,5,11,300
"38","abuse",92.4657534246575,4.2866586069996,0,0,8,300
"39","abusive",92.5650557620818,4.56651415348929,0,9,13,300
"40","academia",88.7719298245614,3.83594838673909,0,0,12,297
"41","academic",92.0689655172414,4.19906882041837,0,1,5,297
"42","academy",84.6689895470383,4.0009937429011,0,1,2,291
"43","accelerate",92.8082191780822,3.36643518608838,0,2,4,300
"44","acceleration",92.4914675767918,3.33425468420064,0,1,5,300
"45","accent",83.7931034482759,4.50557922305079,0,2,6,300
"46","accept",92.1708185053381,4.33798414144116,0,2,15,300
"47","acceptable",85.5633802816901,4.39229114669299,0,2,12,300
"48","acceptance",85.2941176470588,4.69659808307986,0,5,12,294
"49","accepted",69.1176470588235,4.74960785217796,0,9,10,300
"50","access",82.2463768115942,4.43203430182992,0,6,12,300
"51","accessory",88.1756756756757,4.26647736297556,0,0,4,300
"52","accident",89.0784982935154,4.18281110699055,0,1,5,300
"53","accompany",87.6811594202899,4.17019072946832,0,3,12,294
"54","accomplish",94.7916666666667,3.95205748252454,0,1,10,300
"55","accomplished",83.6805555555556,4.53035994678464,0,2,8,300
"56","accomplishment",90.4059040590406,4.01118282598135,0,4,12,291
"57","accord",73.1617647058823,3.90715074397128,0,4,20,300
"58","accordion",85.958904109589,4.09152419990222,0,1,6,300
"59","account",90,4.0614568666168,0,2,6,300
"60","accountant",88.5135135135135,3.94533794546171,0,0,4,300
"61","accounting",87.4564459930314,4.16502533125528,0,1,8,297
"62","accumulate",92.3611111111111,3.94744811435424,0,2,8,300
"63","accuracy",87.8048780487805,4.28591172358671,0,2,9,300
"64","accurate",92.7586206896552,3.88461197614879,0,2,6,300
"65","accusation",87.5886524822695,4.2872278152,0,5,8,300
"66","accuse",86.4285714285714,4.4246746655747,0,4,12,300
"67","ace",89.6193771626298,4.10987427017179,0,3,5,300
"68","ache",98.2993197278912,3.4367845870664,0,1,4,300
"69","achieve",92.6573426573427,4.08599794944313,0,3,8,300
"70","achievement",94.4444444444444,4.27203289407764,0,2,8,300
"71","achiever",81.992337164751,4.38915574726111,0,13,13,300
"72","aching",94.8630136986301,3.78417124365566,0,2,4,300
"73","acid",84.5890410958904,4.22741441067412,0,1,6,300
"74","acidic",77.4744027303754,4.14314039457049,0,0,7,300
"75","acknowledge",92.2509225092251,4.42131015483904,0,3,20,297
"76","acne",86.734693877551,3.81995640180572,0,1,4,300
"77","acorn",93.2432432432432,3.03918978944624,0,0,4,300
"78","acoustic",92.6573426573427,3.48251204111407,0,0,5,291
"79","acquaintance",87.1428571428571,3.78127337588806,0,4,12,300
"80","acquire",92.6315789473684,3.85935112044259,0,2,11,300
"81","acre",87.3684210526316,3.74275110971452,0,1,7,294
"82","acrid",83.7121212121212,3.79119194346055,0,5,26,300
"83","acrobat",89.6057347670251,3.77118717144022,0,0,12,291
"84","acrobatics",80.5555555555556,4.26033889505542,0,1,10,300
"85","acronym",64.0816326530612,4.25675079545505,0,21,13,300
"86","across",83.3922261484099,4.38793607653841,0,1,15,300
"87","act",90.3448275862069,4.01003869141283,0,2,6,300
"88","acting",87.3720136518771,4.36324387809524,0,1,5,300
"89","action",85.7638888888889,4.51154755522781,0,2,8,300
"90","actions",63.7450199203187,4.46828115198278,0,15,19,300
"91","activate",88.339222614841,4.05041848730818,0,4,9,300
"92","active",90.1023890784983,4.40949089227479,0,1,5,300
"93","activist",78.1818181818182,4.75972265777906,0,8,9,300
"94","activity",90.7473309608541,4.34427605669215,0,5,9,300
"95","actor",85.7142857142857,4.18290982485649,0,4,5,300
"96","actors",70.7142857142857,4.29813493282514,0,6,8,300
"97","actress",82.3529411764706,4.1710059626767,0,3,2,297
"98","actual",86.7647058823529,3.49278704835722,0,3,22,300
"99","actually",73.1884057971015,4.14696002333735,0,6,12,300
"100","acute",94.0766550522648,3.91517832774217,0,2,9,300
"101","ad",83.2684824902724,4.35522862878136,0,7,5,276
"102","Adam",77.9783393501805,3.15412126405713,0,7,9,300
"103","adapt",87.7697841726619,4.2458301196491,0,6,10,300
"104","add",95.53264604811,3.65937889950377,0,1,7,300
"105","added",71.3286713286713,3.92159061636473,0,3,8,300
"106","addict",91.6666666666667,4.03221021897965,0,3,6,300
"107","addicted",87.3188405797101,4.10403685294398,0,9,6,300
"108","addiction",93.448275862069,3.94143277550215,0,2,6,300
"109","addictive",86.8794326241135,4.33279207826904,0,5,8,300
"110","addition",91.7241379310345,3.56609997091962,0,0,7,297
"111","additional",90.9420289855072,3.68190661725434,0,6,12,300
"112","additionally",86.9090909090909,3.56016039701889,0,5,15,300
"113","additive",75.9856630824373,4.28594219914338,0,5,11,300
"114","address",91.0652920962199,3.89561215963922,0,2,5,300
"115","adept",85.1985559566787,4.21566198179426,0,1,18,297
"116","adequate",84.981684981685,4.03252833405588,0,3,12,291
"117","adhere",87.0503597122302,3.58465905178563,0,1,20,300
"118","adhesive",91.6083916083916,2.65581492414912,0,2,10,300
"119","adieu",76.4705882352941,3.34411245373225,0,2,12,288
"120","adjacent",90.3914590747331,3.77955387897421,0,3,13,300
"121","adjective",86.4285714285714,3.63254752420033,0,2,13,297
"122","adjourn",90.7749077490775,3.86193736987055,0,1,18,291
"123","adjust",88.4892086330935,4.26213269887388,0,4,14,300
"124","adjustment",86.9402985074627,4.46053724750501,0,4,9,285
"125","administration",82.7118644067797,4.61692597553957,0,1,3,300
"126","administrator",82.03125,4.33305610079173,0,9,14,288
"127","admirable",78.9256198347107,4.56171889565242,0,22,14,300
"128","admiral",86.5051903114187,3.72484469632311,0,3,5,300
"129","admiration",84.4106463878327,4.23921364709039,0,12,13,300
"130","admire",86.5942028985507,4.22484137963488,0,3,18,300
"131","admission",89.0845070422535,4.13391613554423,0,3,10,300
"132","admit",85.7664233576642,4.14706048271071,0,7,12,300
"133","adobe",76.2411347517731,3.85785209574363,0,1,16,300
"134","adolescence",91.7525773195876,3.86894207226958,0,4,1,300
"135","adolescent",88.8888888888889,3.93132397854289,0,0,6,294
"136","adopt",88.6029411764706,3.99726024587189,0,8,12,300
"137","adoption",90.9090909090909,4.03711745574098,0,5,15,300
"138","adorable",92.4137931034483,3.58074940488807,0,1,8,300
"139","adoration",90.1060070671378,3.97951435396648,0,3,11,300
"140","adore",90.8771929824562,3.74640739946627,0,4,7,300
"141","adored",76.5342960288809,3.91577672941801,0,6,11,300
"142","adorn",86.1423220973783,4.19296218250982,0,7,19,300
"143","adornment",77.0428015564202,4.06895202783975,0,12,19,300
